2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 17:56:51.915,108,22.223000 C
2024-01-31 17:56:52.592,109,8.456310 mV
2024-01-31 17:56:53.259,110,25.910940 mV
2024-01-31 17:56:53.926,111,17.706650 mV
2024-01-31 17:58:47.235,101,13.516880 mV
2024-01-31 17:58:47.903,102,18.778250 mV
2024-01-31 17:58:48.570,103,30.855980 mV
2024-01-31 17:58:49.237,104,-1.314960 mV
2024-01-31 17:58:49.904,105,20.050580 mV
2024-01-31 17:58:50.572,106,9.225660 mV
2024-01-31 17:58:51.239,107,11.745310 mV
2024-01-31 17:58:51.915,108,22.218000 C
2024-01-31 17:58:52.592,109,8.463890 mV
2024-01-31 17:58:53.259,110,25.915890 mV
2024-01-31 17:58:53.926,111,17.712570 mV
2024-01-31 18:00:47.235,101,13.521190 mV
2024-01-31 18:00:47.903,102,18.784680 mV
2024-01-31 18:00:48.570,103,30.858680 mV
2024-01-31 18:00:49.237,104,-1.310710 mV
2024-01-31 18:00:49.905,105,20.055600 mV
2024-01-31 18:00:50.572,106,9.237290 mV
2024-01-31 18:00:51.239,107,11.751610 mV
2024-01-31 18:00:51.915,108,22.212000 C
2024-01-31 18:00:52.592,109,8.470260 mV
2024-01-31 18:00:53.259,110,25.920590 mV
2024-01-31 18:00:53.927,111,17.717200 mV
2024-01-31 18:02:47.235,101,13.525950 mV
2024-01-31 18:02:47.903,102,18.790600 mV
2024-01-31 18:02:48.570,103,30.860290 mV
2024-01-31 18:02:49.237,104,-1.306410 mV
2024-01-31 18:02:49.904,105,20.060930 mV
2024-01-31 18:02:50.572,106,9.236780 mV
